Device,Operation,Time(s),Opt,grid_size,Run,Threads
CPU,CGDENSE,0.25616222,0,3200,4,1
GPU,CGDENSE,0.02639142,1,3200,0,32
GPU,CGDENSE,0.02631610,1,3200,1,32
GPU,CGDENSE,0.02631830,1,3200,2,32
GPU,CGDENSE,0.02627473,1,3200,3,32
GPU,CGDENSE,0.02627992,1,3200,4,32
CPU,CGDENSE,0.00000000,1,3200,0,1
CPU,CGDENSE,0.00000000,1,3200,1,1
CPU,CGDENSE,0.00000000,1,3200,2,1
CPU,CGDENSE,0.00000000,1,3200,3,1
CPU,CGDENSE,0.00000000,1,3200,4,1
