Device,Operation,Time(s),Opt,grid_size,Run,Threads
CPU,STENCIL,0.00022149,0,50000,1,1
CPU,STENCIL,0.00021871,0,50000,2,1
CPU,STENCIL,0.00022368,0,50000,3,1
CPU,STENCIL,0.00021896,0,50000,4,1
GPU,STENCIL,0.00001013,1,50000,0,64
GPU,STENCIL,0.00001060,1,50000,1,64
GPU,STENCIL,0.00001092,1,50000,2,64
GPU,STENCIL,0.00001134,1,50000,3,64
GPU,STENCIL,0.00001072,1,50000,4,64
CPU,STENCIL,0.00000000,1,50000,0,1
CPU,STENCIL,0.00000000,1,50000,1,1
CPU,STENCIL,0.00000000,1,50000,2,1
CPU,STENCIL,0.00000000,1,50000,3,1
CPU,STENCIL,0.00000000,1,50000,4,1
GPU,STENCIL,0.00001161,0,100000,0,64
GPU,STENCIL,0.00001131,0,100000,1,64
GPU,STENCIL,0.00001242,0,100000,2,64
GPU,STENCIL,0.00001286,0,100000,3,64
GPU,STENCIL,0.00001203,0,100000,4,64
CPU,STENCIL,0.00043381,0,100000,0,1
CPU,STENCIL,0.00043289,0,100000,1,1
CPU,STENCIL,0.00042744,0,100000,2,1
CPU,STENCIL,0.00042665,0,100000,3,1
CPU,STENCIL,0.00043058,0,100000,4,1
GPU,STENCIL,0.00000996,1,100000,0,64
GPU,STENCIL,0.00001140,1,100000,1,64
GPU,STENCIL,0.00001100,1,100000,2,64
GPU,STENCIL,0.00001131,1,100000,3,64
GPU,STENCIL,0.00001107,1,100000,4,64
CPU,STENCIL,0.00000000,1,100000,0,1
CPU,STENCIL,0.00000000,1,100000,1,1
CPU,STENCIL,0.00000000,1,100000,2,1
CPU,STENCIL,0.00000000,1,100000,3,1
CPU,STENCIL,0.00000000,1,100000,4,1
GPU,STENCIL,0.00001540,0,200000,0,64
GPU,STENCIL,0.00001427,0,200000,1,64
GPU,STENCIL,0.00001545,0,200000,2,64
GPU,STENCIL,0.00001543,0,200000,3,64
GPU,STENCIL,0.00001519,0,200000,4,64
CPU,STENCIL,0.00086778,0,200000,0,1
CPU,STENCIL,0.00085531,0,200000,1,1
CPU,STENCIL,0.00085379,0,200000,2,1
CPU,STENCIL,0.00085244,0,200000,3,1
CPU,STENCIL,0.00084707,0,200000,4,1
GPU,STENCIL,0.00001254,1,200000,0,64
GPU,STENCIL,0.00001243,1,200000,1,64
GPU,STENCIL,0.00001246,1,200000,2,64
GPU,STENCIL,0.00001288,1,200000,3,64
GPU,STENCIL,0.00001292,1,200000,4,64
CPU,STENCIL,0.00000000,1,200000,0,1
CPU,STENCIL,0.00000000,1,200000,1,1
CPU,STENCIL,0.00000000,1,200000,2,1
CPU,STENCIL,0.00000000,1,200000,3,1
CPU,STENCIL,0.00000000,1,200000,4,1
GPU,STENCIL,0.00001993,0,400000,0,64
GPU,STENCIL,0.00001854,0,400000,1,64
GPU,STENCIL,0.00001813,0,400000,2,64
