Device,Operation,Time(s),Opt,grid_size,Run,Threads
GPU,ADDVEC,0.00000892,0,1000,2,128
GPU,ADDVEC,0.00000821,0,1000,3,128
GPU,ADDVEC,0.00000849,0,1000,4,128
CPU,ADDVEC,0.00000080,0,1000,0,1
CPU,ADDVEC,0.00000058,0,1000,1,1
CPU,ADDVEC,0.00000057,0,1000,2,1
CPU,ADDVEC,0.00000057,0,1000,3,1
CPU,ADDVEC,0.00000057,0,1000,4,1
GPU,ADDVEC,0.00000819,0,2000,0,128
GPU,ADDVEC,0.00000773,0,2000,1,128
GPU,ADDVEC,0.00000839,0,2000,2,128
GPU,ADDVEC,0.00000825,0,2000,3,128
GPU,ADDVEC,0.00000807,0,2000,4,128
CPU,ADDVEC,0.00000118,0,2000,0,1
CPU,ADDVEC,0.00000113,0,2000,1,1
CPU,ADDVEC,0.00000112,0,2000,2,1
CPU,ADDVEC,0.00000112,0,2000,3,1
CPU,ADDVEC,0.00000112,0,2000,4,1
GPU,ADDVEC,0.00000875,0,4000,0,128
GPU,ADDVEC,0.00000778,0,4000,1,128
GPU,ADDVEC,0.00000796,0,4000,2,128
GPU,ADDVEC,0.00000811,0,4000,3,128
GPU,ADDVEC,0.00000790,0,4000,4,128
CPU,ADDVEC,0.00000271,0,4000,0,1
CPU,ADDVEC,0.00000224,0,4000,1,1
CPU,ADDVEC,0.00000224,0,4000,2,1
CPU,ADDVEC,0.00000224,0,4000,3,1
CPU,ADDVEC,0.00000223,0,4000,4,1
GPU,ADDVEC,0.00000830,0,8000,0,128
GPU,ADDVEC,0.00000803,0,8000,1,128
GPU,ADDVEC,0.00000783,0,8000,2,128
GPU,ADDVEC,0.00000790,0,8000,3,128
GPU,ADDVEC,0.00000776,0,8000,4,128
CPU,ADDVEC,0.00000726,0,8000,0,1
CPU,ADDVEC,0.00000447,0,8000,1,1
CPU,ADDVEC,0.00000447,0,8000,2,1
CPU,ADDVEC,0.00000445,0,8000,3,1
CPU,ADDVEC,0.00000446,0,8000,4,1
GPU,ADDVEC,0.00000851,0,16000,0,128
GPU,ADDVEC,0.00000797,0,16000,1,128
GPU,ADDVEC,0.00000797,0,16000,2,128
GPU,ADDVEC,0.00000871,0,16000,3,128
GPU,ADDVEC,0.00000809,0,16000,4,128
CPU,ADDVEC,0.00001567,0,16000,0,1
CPU,ADDVEC,0.00000891,0,16000,1,1
CPU,ADDVEC,0.00000890,0,16000,2,1
CPU,ADDVEC,0.00000890,0,16000,3,1
CPU,ADDVEC,0.00000890,0,16000,4,1
GPU,ADDVEC,0.00000859,0,32000,0,128
GPU,ADDVEC,0.00000830,0,32000,1,128
GPU,ADDVEC,0.00000796,0,32000,2,128
GPU,ADDVEC,0.00000799,0,32000,3,128
GPU,ADDVEC,0.00000798,0,32000,4,128
CPU,ADDVEC,0.00003089,0,32000,0,1
CPU,ADDVEC,0.00001794,0,32000,1,1
CPU,ADDVEC,0.00001780,0,32000,2,1
CPU,ADDVEC,0.00001778,0,32000,3,1
CPU,ADDVEC,0.00001779,0,32000,4,1
GPU,ADDVEC,0.00000816,0,1000,0,256
GPU,ADDVEC,0.00000785,0,1000,1,256
GPU,ADDVEC,0.00000767,0,1000,2,256
GPU,ADDVEC,0.00000761,0,1000,3,256
GPU,ADDVEC,0.00000778,0,1000,4,256
CPU,ADDVEC,0.00000089,0,1000,0,1
CPU,ADDVEC,0.00000057,0,1000,1,1
CPU,ADDVEC,0.00000056,0,1000,2,1
CPU,ADDVEC,0.00000057,0,1000,3,1
CPU,ADDVEC,0.00000057,0,1000,4,1
GPU,ADDVEC,0.00000813,0,2000,0,256
GPU,ADDVEC,0.00000819,0,2000,1,256
GPU,ADDVEC,0.00000804,0,2000,2,256
GPU,ADDVEC,0.00000767,0,2000,3,256
GPU,ADDVEC,0.00000770,0,2000,4,256
CPU,ADDVEC,0.00000129,0,2000,0,1
CPU,ADDVEC,0.00000113,0,2000,1,1
CPU,ADDVEC,0.00000112,0,2000,2,1
CPU,ADDVEC,0.00000112,0,2000,3,1
CPU,ADDVEC,0.00000112,0,2000,4,1
GPU,ADDVEC,0.00000805,0,4000,0,256
